	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Obs	28	28	28	28	28	28	28	28	27	27	27	27	27
Mean	13.861	15.865	19.394	85.496	33.849	12.372	8.429	12.293	14.621	21.050	26.796	18.306	23.429
MK_trend_005	0	1	1	0	0	0	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	0	0	0	0	0	0	0	1
THEIL_S	0.344	0.229	0.734	0.036	0.402	0.155	0.009	0.027	0.119	0.490	-0.293	0.159	0.367
Change	9.48	6.59	18.98	1.00	11.25	4.34	0.26	0.74	3.17	13.26	-7.91	4.29	8.51
Change_proc	68.4	41.5	97.9	1.16	33.2	35.1	3.13	6.04	21.7	63.0	-29.5	23.4	36.3
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	1	4	1	0	0	0	0	0	0	1	0	0	4
Obs	46	43	46	47	47	47	47	47	47	46	47	47	43
Mean	10.240	10.641	11.962	32.794	14.059	7.536	5.467	5.602	6.433	8.765	12.260	11.333	11.577
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.089	0.046	0.093	-0.044	0.001	0.007	0.004	-0.003	-0.001	-0.013	-0.003	0.079	0.030
Change	4.09	0.56	2.29	-4.15	0.08	0.35	0.19	-0.14	-0.16	-0.68	-0.14	3.71	0.98
Change_proc	40.0	5.28	19.2	-12.7	0.572	4.61	3.44	-2.58	-2.55	-7.79	-1.13	32.7	8.48
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	3	3	3	3	3	3	3	3	4	3	3	3	4
Obs	44	44	44	44	44	44	44	44	43	44	44	44	43
Mean	4.220	3.599	4.302	11.072	7.267	3.961	2.604	2.431	2.697	3.402	4.611	4.380	4.587
MK_trend_005	0	0	1	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.016	0.028	0.042	0.006	0.014	0.004	0.002	-0.005	-0.012	-0.027	-0.025	0.020	0.008
Change	0.69	1.24	1.51	-1.65	0.49	0.19	0.08	-0.22	-0.51	-1.21	-1.08	0.87	0.20
Change_proc	16.4	34.4	35.0	-14.9	6.71	4.76	3.09	-9.16	-18.8	-35.4	-23.4	19.9	4.4
